lat,lon
-40.1,143.9
-40.1,143.95
-40.05,143.85
-40.05,143.95
-40.05,144
-40.05,144.05
-40.05,144.1
-40,143.9
-40,143.95
-40,144
-40,144.05
-40,144.1
-39.95,143.9
-39.95,143.95
-39.95,144
-39.95,144.05
-39.95,144.1
-39.95,144.15
-39.9,143.9
-39.9,143.95
-39.9,144
-39.9,144.05
-39.9,144.1
-39.85,143.9
-39.85,143.95
-39.85,144
-39.85,144.05
-39.85,144.1
-39.8,143.9
-39.8,143.95
-39.8,144
-39.8,144.05
-39.8,144.1
-39.75,143.9
-39.75,143.95
-39.75,144
-39.75,144.05
-39.75,144.1
-39.7,143.9
-39.7,143.95
-39.7,144
-39.7,144.05
-39.7,144.1
-39.65,144
-39.65,144.05
-39.6,144
-39.6,144
