lon,lat,year,day,radn,maxt,mint,rain
145.00,-41.00,2016,1,18.10,25.60,15.00,0.00
145.00,-41.00,2016,2,19.40,23.40,13.00,0.00
145.00,-41.00,2016,3,23.30,22.70,12.80,0.00
145.00,-41.00,2016,4,19.00,22.10,12.00,0.00
145.00,-41.00,2016,5,12.50,20.20,13.10,0.10
145.00,-41.00,2016,6,22.50,24.80,12.90,0.00
145.00,-41.00,2016,7,26.20,20.80,10.50,0.00
145.00,-41.00,2016,8,25.10,21.20,12.90,0.00
145.00,-41.00,2016,9,22.10,22.90,11.70,0.00
145.00,-41.00,2016,10,28.50,23.40,10.80,0.00
145.00,-41.00,2016,11,23.70,25.10,12.50,0.00
145.00,-41.00,2016,12,28.20,25.00,11.90,2.00
145.00,-41.00,2016,13,24.60,24.80,16.00,0.00
145.00,-41.00,2016,14,19.10,17.60,13.10,0.70
145.00,-41.00,2016,15,27.50,19.30,7.00,0.30
145.00,-41.00,2016,16,27.10,21.70,10.40,0.00
145.00,-41.00,2016,17,25.60,23.90,12.00,0.00
145.00,-41.00,2016,18,26.90,26.30,16.40,0.00
145.00,-41.00,2016,19,23.20,25.00,14.50,0.00
145.00,-41.00,2016,20,21.70,22.50,14.70,0.00
145.00,-41.00,2016,21,22.70,21.10,10.70,0.00
145.00,-41.00,2016,22,15.00,22.00,13.70,0.00
145.00,-41.00,2016,23,12.80,21.30,12.50,0.00
145.00,-41.00,2016,24,13.80,22.80,11.70,0.00
145.00,-41.00,2016,25,22.80,21.20,12.40,0.00
145.00,-41.00,2016,26,20.80,22.30,12.20,1.30
145.00,-41.00,2016,27,15.10,22.50,15.50,0.00
145.00,-41.00,2016,28,11.40,23.40,17.50,0.00
145.00,-41.00,2016,29,7.70,19.80,13.40,7.40
145.00,-41.00,2016,30,11.10,20.90,15.20,4.90
145.00,-41.00,2016,31,13.80,23.90,15.90,1.80
145.00,-41.00,2016,32,23.00,26.10,15.00,0.00
145.00,-41.00,2016,33,21.60,24.70,15.80,0.00
145.00,-41.00,2016,34,20.10,21.00,14.40,3.60
145.00,-41.00,2016,35,22.30,23.30,10.40,0.00
145.00,-41.00,2016,36,23.50,25.10,12.30,0.00
145.00,-41.00,2016,37,19.10,24.70,15.70,0.00
145.00,-41.00,2016,38,23.30,26.30,17.10,0.00
145.00,-41.00,2016,39,22.80,23.50,15.60,0.10
145.00,-41.00,2016,40,26.30,24.30,12.70,0.00
145.00,-41.00,2016,41,19.30,23.10,12.80,0.00
145.00,-41.00,2016,42,24.40,24.20,12.30,0.00
145.00,-41.00,2016,43,24.20,23.70,12.80,0.00
145.00,-41.00,2016,44,17.90,24.10,14.10,0.00
145.00,-41.00,2016,45,17.70,21.20,12.30,0.20
145.00,-41.00,2016,46,13.30,18.40,11.80,0.60
145.00,-41.00,2016,47,18.10,16.40,8.60,6.90
145.00,-41.00,2016,48,12.10,19.70,10.90,3.40
145.00,-41.00,2016,49,9.40,22.50,11.90,0.30
145.00,-41.00,2016,50,17.10,18.40,12.50,2.40
145.00,-41.00,2016,51,11.70,20.10,9.70,0.20
145.00,-41.00,2016,52,24.60,22.50,11.40,0.30
145.00,-41.00,2016,53,9.60,24.50,13.40,0.00
145.00,-41.00,2016,54,13.20,24.20,14.10,0.00
145.00,-41.00,2016,55,7.00,18.10,17.00,3.90
145.00,-41.00,2016,56,10.80,20.10,13.80,20.50
145.00,-41.00,2016,57,15.10,19.40,12.90,9.10
145.00,-41.00,2016,58,17.80,21.60,12.60,2.00
145.00,-41.00,2016,59,12.90,21.20,13.90,1.50
145.00,-41.00,2016,60,12.10,20.60,12.90,0.30
145.00,-41.00,2016,61,10.80,23.00,15.00,1.90
145.00,-41.00,2016,62,14.30,25.60,15.90,0.00
145.00,-41.00,2016,63,21.50,24.20,12.40,0.00
145.00,-41.00,2016,64,20.60,24.10,13.70,0.00
145.00,-41.00,2016,65,18.40,24.10,13.40,0.10
145.00,-41.00,2016,66,17.20,23.40,13.90,0.10
145.00,-41.00,2016,67,6.90,20.60,14.40,0.10
145.00,-41.00,2016,68,7.10,21.90,15.30,1.10
145.00,-41.00,2016,69,8.90,20.90,17.20,2.10
145.00,-41.00,2016,70,8.10,19.80,10.10,0.60
145.00,-41.00,2016,71,6.70,23.70,13.70,3.20
145.00,-41.00,2016,72,8.20,22.90,15.80,0.50
145.00,-41.00,2016,73,13.20,23.50,13.50,0.20
