day,radn,rain,tmax,tmin
20160101,27.64,0.24,11.05,9.64
20160102,27.45,1.45,10.53,8.73
20160103,15.72,0.09,10.35,8.67
20160104,20.75,0.04,11.14,10.41
20160105,29.51,0.67,12.99,11.29
20160106,23.44,0.6,11.31,9.74
20160107,14.98,0.76,11.29,10.52
20160108,14.14,2.02,11.96,10.78
20160109,19.44,0.77,12.32,10.33
20160110,17.76,1.08,12.08,10.51
20160111,23.54,1.08,11.62,9.89
20160112,29.66,0.28,10.7,8.43
20160113,3.62,20.26,13.08,10.91
20160114,21.63,0.53,11.42,8.15
20160115,16.17,0.7,11.23,10.38
20160116,23.75,1.16,11.61,11.24
20160117,17.79,1.48,11.56,11.09
20160118,27.18,1.05,12.3,11.12
20160119,17.53,8.37,12.41,9.99
20160120,25.03,0.71,10.86,9.18
20160121,13.11,4.39,12.33,10.41
20160122,15.09,2.24,11.6,9.87
20160123,18.63,1.53,12.11,10.75
20160124,21.17,0.87,11.81,10.34
20160125,17.83,0.5,10.31,9.29
20160126,18.49,0.32,10.49,9.65
20160127,24.17,0.11,12.79,10.27
20160128,13.14,5.31,14.22,12.72
20160129,26.17,0.33,14.14,13.11
20160130,26.01,0.15,14,13.3
20160131,19.37,0.12,13.97,12.99
20160201,22.72,0.23,14.16,13.39
20160202,15.16,2.54,14.81,13.98
20160203,22.36,1.48,13.97,11.07
20160204,19.91,0.24,12.35,12.12
20160205,17.76,0.83,12.68,12.2
20160206,18.85,1.05,12.82,12.39
20160207,14.99,1.9,13.32,12.54
20160208,23.91,1.36,13.13,11.5
20160209,17.55,3.66,12.71,11.02
20160210,25.26,1.12,11.52,9.98
20160211,21.22,0.52,12.55,11.63
20160212,18.26,1.2,13.05,12.6
20160213,23.1,3.63,12.96,10.62
20160214,13.57,3.76,11.6,9.31
20160215,10.56,11.74,12.45,8.28
20160216,11.52,1.08,9.13,7.89
20160217,17.2,0.09,10.17,9.18
20160218,16.6,4.47,11.39,9.3
20160219,19.91,2.21,11.36,8.5
20160220,19.95,0.67,11.84,10.94
20160221,19.61,0.34,12.23,11.71
20160222,23.56,0.1,12.66,12.12
20160223,8.86,3.81,13.45,12.08
20160224,14.45,0.36,13.18,10.32
20160225,18.28,5.26,11.98,8.72
20160226,15.09,0.82,10.44,8.31
20160227,14.44,2.05,12.46,10.46
20160228,21.41,0.24,11.98,7.39
20160229,21.28,0.06,11.65,7.52
20160301,9.85,6.89,12.46,11.64
20160302,21.32,1.2,12.08,10.55
20160303,20.03,0.29,11.27,10.07
20160304,10.64,0.71,12.21,11.43
20160305,19.22,1.09,12.46,11.3
20160306,12.61,3.83,12.31,10.99
20160307,18.86,3.62,11.39,9.4
20160308,14.62,0.2,10.53,9.43
20160309,12.47,14.16,10.8,9.5
20160310,13.82,0.4,10.88,9.06
20160311,9.41,0.3,12.63,10.97
20160312,17.37,0.45,11.46,10.78
20160313,10.78,0.45,10.95,9.85
20160314,17.44,0.33,10.56,8.65
20160315,12.54,0.01,9.96,8.49
20160316,12.17,0.03,12.21,10.13
20160317,13.02,4.25,13.41,12.31
20160318,13.52,4.42,12.04,9.04
20160319,13.42,0.01,10.87,8.82
20160320,14.04,0.31,11.11,10.86
20160321,15.35,0.39,10.89,10.01
20160322,14.77,0.3,12.16,10.4
20160323,14.83,5.25,12.23,9.43
20160324,8.61,1.73,11.73,9.59
20160325,12.14,3.24,12.1,10.62
20160326,12.99,1.11,12.31,9.24
20160327,12.14,1.33,10.4,9.58
20160328,9.17,0.51,11.13,10.24
20160329,10.9,0.4,11.9,10.79
20160330,5.78,6.8,12.08,10.69
20160331,8.69,2.33,12.62,10.8
20160401,3.74,6.34,13.7,10.64
20160402,7.41,2.28,10.68,8.5
20160403,10.03,0.54,11.78,9.1
20160404,6.74,2.65,12.11,11.08
20160405,4.34,4.78,13.2,9.16
20160406,11.93,0.08,9.83,8.64
20160407,8.07,0.71,11.54,9.92
20160408,10.53,0.63,12.03,11.51
20160409,7.07,6.15,12.44,9.73
20160410,10.49,3.51,10.56,8.14
20160411,5.8,1.04,11.06,7.63
20160412,7.84,0.84,11.1,8.33
20160413,6.52,2.48,11.77,9.64
20160414,7.42,1.1,12.2,11.21
20160415,3.39,6.03,12.56,10
20160416,9.96,0.62,10.24,8.99
20160417,6.69,0.72,11.04,10.27
20160418,5.04,6.43,11.67,10.96
20160419,7.45,3.84,12.02,10.4
20160420,5.83,1.51,12.3,11.75
20160421,7.08,1.81,11.71,10.19
20160422,7.5,1.4,11.31,9.28
20160423,2.73,2.59,11.53,8.97
20160424,3.98,1.15,11.95,11.22
20160425,6.39,1.17,12.13,11.05
20160426,2.37,2.31,12.99,12.23
20160427,4.33,0.49,14.27,12.49
20160428,5.62,2.64,12.17,9.39
20160429,2.28,9.5,13.68,10.66
20160430,7.91,0.75,13.01,10.77
20160501,2.48,6.06,11.5,7.72
20160502,4.04,5.74,12.83,7.98
20160503,5.32,2.83,9.95,8.2
20160504,4.87,7.24,12.73,8.03
20160505,3.23,7.97,13.34,10.42
20160506,6.6,0.58,10.7,9.21
20160507,6.37,3.57,10.98,10.06
20160508,6.53,0.17,9.97,7.37
20160509,3.15,4.17,11.54,7.35
20160510,2.98,18.11,11.79,8
20160511,2.74,3.18,10.42,7.61
20160512,2.95,3.96,11.22,7.6
20160513,3.49,0.76,11.18,9.69
20160514,1.22,0.67,10.29,8.33
20160515,2.7,5.92,10.3,7.14
20160516,2.1,7.21,10.64,8.8
20160517,3.72,0.43,10.09,8.22
20160518,4.87,2.63,10.23,8.77
20160519,3.79,2.46,10.81,7.95
20160520,5.4,0.33,10.53,7.98
20160521,2.82,0.53,10.7,10.18
20160522,3.47,0.19,11.63,10.8
20160523,1.98,4.47,11.94,7.62
20160524,4.6,0.01,8.06,7.01
20160525,3.31,1.39,9.84,6.25
20160526,5.21,4.63,10.3,8.92
